                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.84384,                0.61104,                 1.0225,                0.74491,                 0.5294,                0.53762,                0.35021,                 1.2375,                0.98873,                 1.2982,              0.0002404,              0.0002404,              0.0002404
                     69,                0.83013,                0.60288,                 1.0172,                0.64745,                0.51499,                0.49863,                0.32654,                 1.2423,                 1.0039,                   1.28,             0.00023334,             0.00023334,             0.00023334
                     70,                0.81964,                0.57868,                 1.0061,                0.73588,                0.48385,                0.51494,                0.34172,                 1.2192,                 1.0171,                 1.2732,             0.00022627,             0.00022627,             0.00022627
                     71,                0.81348,                 0.5901,                 1.0136,                0.64376,                0.50894,                0.50773,                0.32627,                 1.2328,                0.98538,                 1.3014,              0.0002192,              0.0002192,              0.0002192
                     72,                0.80998,                0.57554,                 1.0057,                0.69014,                0.49136,                0.50956,                0.33268,                 1.2346,                0.99503,                 1.2797,             0.00021213,             0.00021213,             0.00021213
                     73,                0.81625,                0.58945,                 1.0169,                0.70413,                  0.484,                0.52432,                0.35132,                 1.2328,                 0.9898,                 1.2939,             0.00020506,             0.00020506,             0.00020506
                     74,                0.81737,                0.57809,                 1.0093,                0.70053,                0.43797,                 0.4773,                0.31774,                 1.2466,                 0.9989,                 1.3066,             0.00019799,             0.00019799,             0.00019799
                     75,                0.80699,                0.57014,                 1.0038,                 0.6731,                0.48732,                0.49606,                0.32535,                 1.2201,                  1.018,                 1.2946,             0.00019092,             0.00019092,             0.00019092
                     76,                0.80437,                  0.575,                 1.0075,                0.68469,                0.44425,                0.47512,                 0.3157,                 1.2391,                0.99425,                 1.3138,             0.00018385,             0.00018385,             0.00018385
                     77,                0.79381,                0.55927,                 1.0022,                0.67991,                0.47197,                0.50984,                0.32721,                 1.2008,                 1.0251,                 1.2682,             0.00017679,             0.00017679,             0.00017679
                     78,                0.78646,                0.54531,                 0.9945,                0.71147,                0.51502,                0.52165,                  0.341,                  1.208,                0.99535,                 1.2771,             0.00016972,             0.00016972,             0.00016972
                     79,                0.78642,                0.54621,                0.99308,                0.72728,                0.45721,                0.50804,                0.32837,                 1.2361,                 1.0233,                 1.3192,             0.00016265,             0.00016265,             0.00016265
                     80,                0.77436,                0.53734,                0.99119,                0.66783,                0.45274,                0.49865,                0.31937,                 1.2712,                 1.0152,                 1.3346,             0.00015558,             0.00015558,             0.00015558
                     81,                0.77393,                0.54451,                 1.0003,                0.73608,                 0.4618,                0.50094,                0.32313,                 1.2554,                0.99562,                 1.3309,             0.00014851,             0.00014851,             0.00014851
                     82,                0.78255,                0.54456,                0.99692,                 0.6948,                0.46917,                0.49755,                0.32456,                 1.2429,                 1.0312,                 1.3071,             0.00014144,             0.00014144,             0.00014144
                     83,                0.77724,                0.53139,                0.98581,                0.66703,                0.56914,                0.51768,                0.33447,                 1.2255,                  1.005,                  1.293,             0.00013437,             0.00013437,             0.00013437
                     84,                0.77508,                0.53807,                0.98722,                0.71647,                0.46404,                0.51459,                0.33313,                 1.2282,                0.98462,                  1.305,             0.00012731,             0.00012731,             0.00012731
                     85,                0.76686,                0.52327,                0.98297,                0.70168,                0.51447,                0.51774,                0.32873,                 1.2319,                   0.98,                 1.3148,             0.00012024,             0.00012024,             0.00012024
                     86,                0.75837,                0.52499,                0.98338,                0.74619,                0.48856,                0.52233,                0.34122,                 1.2149,                0.98273,                 1.3004,             0.00011317,             0.00011317,             0.00011317
                     87,                0.77186,                0.52561,                0.98332,                0.73011,                0.50756,                0.51583,                0.33797,                 1.2351,                0.99838,                 1.2942,              0.0001061,              0.0001061,              0.0001061
                     88,                 0.7458,                0.50803,                0.97222,                0.69394,                0.51036,                0.52218,                 0.3406,                 1.2207,                0.99962,                 1.2857,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.75098,                0.51587,                0.97953,                0.72269,                0.52286,                0.51815,                 0.3342,                  1.219,                0.98762,                 1.3023,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.75073,                0.51837,                0.97703,                0.47694,                0.51309,                0.51565,                0.34034,                 1.2135,                0.98417,                  1.294,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.76304,                0.54088,                0.99059,                0.73332,                0.44809,                0.48726,                0.32047,                 1.2342,                0.98392,                 1.3271,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.72862,                0.48298,                0.97569,                0.75871,                0.45668,                0.50251,                0.33575,                 1.2591,                0.99882,                 1.3438,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.72939,                0.48874,                0.97682,                0.74192,                0.50537,                0.51686,                0.33034,                 1.2528,                0.98268,                 1.3331,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.71316,                0.47197,                0.96776,                0.73023,                0.49512,                0.51238,                0.32911,                  1.233,                0.95493,                 1.3141,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.70133,                0.47493,                0.96399,                0.66034,                0.49612,                0.50214,                0.32387,                 1.2318,                0.96925,                 1.3115,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.69377,                0.46169,                0.96495,                0.65562,                0.49642,                0.50142,                 0.3238,                 1.2403,                0.97877,                 1.3177,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.69219,                 0.4489,                0.96331,                0.67266,                0.49547,                0.50898,                0.32517,                 1.2462,                0.96269,                 1.3237,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.68163,                0.44407,                0.94943,                0.73944,                0.44928,                0.50728,                0.32569,                 1.2527,                0.96353,                 1.3276,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.68459,                0.45097,                0.94753,                0.66808,                0.48941,                0.50487,                0.32667,                 1.2428,                  0.976,                 1.3175,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.67729,                 0.4447,                0.95882,                0.68561,                0.48918,                0.50253,                0.32199,                  1.248,                0.98693,                 1.3244,             1.4209e-05,             1.4209e-05,             1.4209e-05
